ac_number,constituency,winner_candidate,winner_party,winner_votes,turnout,region,reserved,runner_candidate,runner_party,runner_votes,margin
1,Gummidipoondi,S.VIJAYAKUMAR,TVK,94320,91.48,Chennai Metro,GEN,SUDHAKAR.V,AIADMK,66375,27945
2,Ponneri,DR.RAVI.M.S,TVK,110439,90.21,Chennai Metro,SC,DURAI CHANDRASEKAR,INC,54671,55768
3,Tiruttani,G.HARI,AIADMK,89169,90.97,Chennai Metro,GEN,M.SATHYA KUMAR,TVK,83376,5793
4,Thiruvallur,DR. T. ARUNKUMAR,TVK,92190,90.17,Chennai Metro,GEN,V.G. RAAJENDRAN,DMK,67430,24760
5,Poonamallee,PRAKASAM.R,TVK,161309,83.78,Chennai Metro,SC,KRISHNASWAMY.A,DMK,88569,72740
6,Avadi,R.RAMESH KUMAR,TVK,180384,79.26,Chennai Metro,GEN,S.M.NASAR,DMK,104073,76311
7,Maduravoyal,RHEVANTH CHARAN,TVK,141725,78.67,Chennai Metro,GEN,GANAPATHY. K,DMK,80216,61509
8,Ambattur,BALAMURUGAN.G,TVK,133339,77.13,Chennai Metro,GEN,DR A.P. POORNIMA,DMK,74558,58781
9,Madavaram,M.L.VIJAYPRABHU,TVK,190462,83.82,Chennai Metro,GEN,S.SUDHARSANAM,DMK,95477,94985
10,Thiruvottiyur,SENTHIL KUMAR. N,TVK,110067,84.55,Chennai Metro,GEN,SUNDARARAJ. L,CPI(M),56503,53564
11,Dr.Radhakrishnan Nagar,N. MARIE WILSON,TVK,97800,90.88,Chennai Metro,GEN,J. JOHN EBENEZER,DMK,48132,49668
12,Perambur,C. JOSEPH VIJAY,TVK,120365,90.3,Chennai Metro,GEN,R.D. SHEKAR,DMK,66650,53715
13,Kolathur,V. S. BABU,TVK,82997,86.88,Chennai Metro,GEN,M. K. STALIN,DMK,74202,8795
14,Villivakkam,AADHAV ARJUNA,TVK,66445,86.56,Chennai Metro,GEN,KARTHIK MOHAN,DMK,49143,17302
15,Thiru-Vi-Ka-Nagar,M. R. PALLAVI,TVK,69125,79.22,Chennai Metro,SC,K. S. RAVICHANDRAN,DMK,46792,22333
16,Egmore,RAJMOHAN,TVK,53901,86.27,Chennai Metro,SC,TAMILAN PRASANNA,DMK,43097,10804
17,Royapuram,K.V. VIJAY DAMU,TVK,59091,79.76,Chennai Metro,GEN,DR. A. SUBAIR KHAN,DMK,44842,14249
18,Harbour,P K SEKARBABU,DMK,45254,82.92,Chennai Metro,GEN,SINORA P S ASHOK,TVK,33504,11750
19,Chepauk-Thiruvallikeni,UDHAYANIDHI STALIN,DMK,62992,84.76,Chennai Metro,GEN,SELVAM. D,TVK,55852,7140
20,Thousand Lights,PRABHAKAR.J.C.D,TVK,58965,83.67,Chennai Metro,GEN,EZHILAN NAGANATHAN,DMK,43824,15141
21,Anna Nagar,V.K.RAMKUMAR,TVK,71375,86.46,Chennai Metro,GEN,N.CHITRARASU,DMK,50012,21363
22,Virugampakkam,SABARINATHAN.R,TVK,76092,86.15,Chennai Metro,GEN,PRABHAKARA RAJA.A.M.V,DMK,49006,27086
23,Saidapet,ARUL PRAKASAM. M,TVK,81205,78.56,Chennai Metro,GEN,SUBRAMANIAN. MA,DMK,52691,28514
24,Thiyagarayanagar,ANAND N,TVK,51632,84.34,Chennai Metro,GEN,SATHIYANARAYANAN B,AIADMK,38605,13027
25,Mylapore,VENKATARAMANAN. P,TVK,70070,75.49,Chennai Metro,GEN,VELU. DHA,DMK,41098,28972
26,Velachery,KUMAR. R,TVK,80430,85.09,Chennai Metro,GEN,ASHOK. M.K,AIADMK,47125,33305
27,Shozhinganallur,ECR P SARAVANAN,TVK,220382,80.74,Chennai Metro,GEN,S. ARAVIND RAMESH,DMK,123602,96780
28,Alandur,M.HARISH,TVK,112205,86.86,Chennai Metro,GEN,T.M.ANBARASAN,DMK,82596,29609
29,Sriperumbudur,THENNARASU.K,TVK,147611,86.72,Chennai Metro,SC,K. SELVAPERUNTHAGAI,INC,93365,54246
30,Pallavaram,J.KAMATCHI,TVK,133611,84.17,Chennai Metro,GEN,D.MURUGESAN,DMDK,78918,54693
31,Tambaram,D.SARATHKUMAR,TVK,118967,84.44,Chennai Metro,GEN,R.S.KIRUTHIKA DEVI,DMK,83346,35621
32,Chengalpattu,S. THIYAGARAJAN,TVK,137136,86.89,Chennai Metro,GEN,KARTHIKDHANDAPANI,DMK,101495,35641
33,Thiruporur,B.VIJAYARAJ,TVK,110095,89.12,North,GEN,R. PANNEERDOSS,VCK,70744,39351
34,Cheyyur,RAJASEKAR. E,AIADMK,63809,91.93,North,SC,MOHAN RAJA.M.G.K,TVK,58141,5668
35,Madurantakam,MARAGATHAM KUMARAVEL.K,AIADMK,69284,93.22,North,SC,EZHIL KATHARINE EZHILMALAI,TVK,62090,7194
36,Uthiramerur,MUNIRATHINAM.J,TVK,84917,92.49,North,GEN,SUNDAR.K,DMK,70694,14223
37,Kancheepuram,R.V. RANJITHKUMAR,TVK,91350,88.34,North,GEN,V. SOMASUNDARAM,AIADMK,75862,15488
38,Arakkonam,V. GANDHIRAJ,TVK,73776,90.72,North,SC,EZHIL CAROLINE,VCK,50655,23121
39,Sholingur,G.KAPIL,TVK,84506,90.55,North,GEN,K.SARAVANAN,PMK,78820,5686
40,Katpadi,DR M SUDHAKAR,TVK,69868,88.42,North,GEN,V. RAMU,AIADMK,63998,5870
41,Ranipet,THAHIRA,TVK,91149,88.78,North,GEN,R. GANDHI,DMK,85362,5787
42,Arcot,S.M.SUKUMAR,AIADMK,105608,91.49,North,GEN,G.VIJAY MOHAN,TVK,62888,42720
43,Vellore,M.M.VINOTH KANNAN,TVK,73032,88.64,North,GEN,P.KARTHIKEYAN,DMK,66255,6777
