ac_number,constituency,winner_candidate,winner_party,winner_votes,turnout,region,reserved,runner_candidate,runner_party,runner_votes,margin
44,Anaikattu,D.VELAZHAGAN,AIADMK,76302,89.89,North,GEN,A.P.NANDAKUMAR,DMK,69221,7081
45,Kilvaithinankuppam,THENRAL KUMAR. E,TVK,74305,87.5,North,SC,JEGAN MOORTHY. M,AIADMK,54050,20255
46,Gudiyattam,K.SINDU,TVK,82858,90.88,North,SC,K.B.PRADAP,DMDK,72761,10097
47,Vaniyambadi,SYED FAROOQ BASHA SSB,IUML,73181,87.35,North,GEN,SYED BHURHANUDEEN,TVK,70199,2982
48,Ambur,VILWANATHAN. A.C.,DMK,74102,91.01,North,GEN,IMTHIYAZ PANDARATTUDU ABDU,TVK,66971,7131
49,Jolarpet,VEERAMANI K.C.,AIADMK,78633,89.72,North,GEN,MUNISAMY C,TVK,62550,16083
50,Tiruppattur,DR.THIRUPATHI. N,TVK,105098,89.26,North,GEN,NALLATHAMBI. A,DMK,56835,48263
51,Uthangarai,N ELAIYARAJA,TVK,70201,87.12,North,SC,T M  TAMILSELVAM,AIADMK,65003,5198
52,Bargur,E.C. GOVINDARASAN,AIADMK,71240,88.97,North,GEN,E. MURALIDHARAN,TVK,66999,4241
53,Krishnagiri,MUKUNDHAN.P,TVK,89374,85.44,North,GEN,ASHOKKUMAR.K,AIADMK,70530,18844
54,Veppanahalli,SRINIVASAN.P.S,DMK,74691,90.22,North,GEN,MUNUSAMY.K.P,AIADMK,74553,138
55,Hosur,BALAKRISHNAREDDY. P,AIADMK,109867,80.97,North,GEN,VENDARKARASAN.S,TVK,82064,27803
56,Thalli,RAMACHANDRAN. T,CPI,78283,86.52,North,GEN,DR.NAGESH KUMAR. C,BJP,73043,5240
57,Palacodu,ANBALAGAN. K.P.,AIADMK,102807,93.52,North,GEN,GOPI. R.,TVK,63765,39042
58,Pennagaram,GAJENDRAN. S.,TVK,81240,91.9,North,GEN,SELVAM. V.,PMK,78075,3165
59,Dharmapuri,SOWMIYA ANBUMANI,PMK,93713,91.42,North,GEN,SIVAN. M.,TVK,72817,20896
60,Pappireddipatti,MARAGATHAM VETRIVEL,AIADMK,101829,92.06,North,GEN,PALANIAPPAN. P,DMK,68715,33114
61,Harur,SAMPATHKUMAR. V,AIADMK,75523,89.46,North,SC,SHANMUGAM. A,DMK,72194,3329
62,Chengam,S.VELU,AIADMK,87802,90.15,North,SC,K BHARATHIDHASAN,TVK,74524,13278
63,Tiruvannamalai,VELU. E.V,DMK,88273,88.02,North,GEN,ARUL ARUMUGAM,TVK,85818,2455
64,Kilpennathur,RAMACHANDRAN.S,AIADMK,90503,91.12,North,GEN,PITCHANDI.K,DMK,60038,30465
65,Kalasapakkam,AGRI KRISHNAMURTHY. S S,AIADMK,89629,91.67,North,GEN,SARAVANAN. P.S.T,DMK,62889,26740
66,Polur,ABISHEK. R,TVK,67961,90.07,North,GEN,SARAVANAN. P,DMDK,67734,227
67,Arani,JAYASUDHA. L,AIADMK,76735,89.74,North,GEN,MAHALAKSHMI GOVARTHANAN,DMK,71104,5631
68,Cheyyar,MUKKUR N. SUBRAMANIAN,AIADMK,86680,92.73,North,GEN,DUSI K MOHAN,TVK,65599,21081
69,Vandavasi,AMBETHKUMAR. S,DMK,63805,89.53,North,SC,RANI. P,AIADMK,60472,3333
70,Gingee,GANESHKUMAR A,PMK,78201,89.16,Central,GEN,GINGEE MASTHAN K S,DMK,65556,12645
71,Mailam,SHANMUGAM C VE,AIADMK,82353,90.49,Central,GEN,VIJAY NIRANJAN A,TVK,52312,30041
72,Tindivanam,VANNI ARASU,VCK,63833,89.39,Central,SC,ARJUNAN. P,AIADMK,63099,734
73,Vanur,GOWTHAM D,DMK,68873,91.54,Central,SC,SURESH P,TVK,61839,7034
74,Viluppuram,LAKSHMANAN R,DMK,72982,87.57,Central,GEN,MOHANRAJ N,TVK,68863,4119
75,Vikravandi,SIVAKUMAR C,PMK,69727,91.29,Central,GEN,VIJAI VADIVEL A,TVK,68817,910
76,Tirukkoyilur,PALANISAMY S,AIADMK,73033,89.28,Central,GEN,VIJAY R BARANIBALAAJI,TVK,72748,285
77,Ulundurpettai,VASANTHAVEL G R,DMK,98471,90.1,Central,GEN,KUMARAGURU R,AIADMK,96194,2277
78,Rishivandiyam,KARTHIKEYAN K,DMK,89711,89.46,Central,GEN,ASHOK KUMAR G,TVK,84849,4862
79,Sankarapuram,RAKESH R,AIADMK,80250,88.54,Central,GEN,UDHAYASURIYAN T,DMK,76810,3440
80,Kallakurichi,ARUL VIGNESH C,TVK,81132,88.64,Central,SC,RAJEEVGANDHI S,AIADMK,80334,798
81,Gangavalli,NALLATHAMBI. A,AIADMK,73167,90.06,Central,SC,CHINNADURAI. K,DMK,58763,14404
82,Attur,JAYASANKARAN. A.P.,AIADMK,80843,91.27,Central,SC,SELVABHARATHI. R.,TVK,65525,15318
83,Yercaud,USHARANI. P,AIADMK,87772,92.91,Central,ST,LAKSHMI JANARTHANAN. J,TVK,85583,2189
84,Omalur,MANI. R,AIADMK,112246,91.95,Central,GEN,ADHIYAMAAN. R.V,TVK,97707,14539
85,Mettur,VENKATACHALAM. G,AIADMK,86498,90.32,Central,GEN,MIDHUN CHAKRAVARTHY. M,DMK,67393,19105
86,Edappadi,EDAPPADI PALANISWAMI. K,AIADMK,148933,93.41,Central,GEN,PREMKUMAR. K,IND,50823,98110
87,Sankari,VETRIVEL. S,AIADMK,87342,93.55,Central,GEN,SENTHILKUMAR. K,TVK,77825,9517
88,Salem (West),LAKSHMANAN.S,TVK,120407,90.84,Central,GEN,KARTHE.M,PMK,45540,74867
89,Salem (North),SIVAKUMAR. K,TVK,85710,88.28,Central,GEN,RAJENDRAN. R,DMK,71676,14034
90,Salem (South),VIJAY TAMILAN PARTHIBAN. A,TVK,91371,91.64,Central,GEN,LOGANATHAN. M,DMK,58002,33369
91,Veerapandi,PALANIVEL. M.S,TVK,79907,94.16,Central,GEN,SRI BALAJI SUGUMAR. S,AIADMK,75836,4071
92,Rasipuram,LOGESH TAMILSELVAN D,TVK,74808,92.07,Central,SC,PREMKUMAR S D,BJP,60297,14511
93,Senthamangalam,P CHANDRASEKAR,TVK,68815,91.37,Central,ST,C CHANDRASEKARAN,AIADMK,66160,2655
94,Namakkal,DILIP C S,TVK,79744,89.23,Central,GEN,SRIDEVI MOHAN P S,AIADMK,68736,11008
95,Paramathi-Velur,SEKAR S,AIADMK,61349,92.02,Central,GEN,MOORTHIY K S,DMK,61041,308
96,Tiruchengodu,ARUNRAJ K G,TVK,79500,91.4,Central,GEN,SRMT SEKAR (A) CHANDRASEKAR R,AIADMK,51328,28172
97,Kumarapalayam,C.VIJAYALAKSHMI,TVK,81179,93.3,Central,GEN,P.THANGAMANI,AIADMK,73483,7696
98,Erode (East),M.VIJAY BALAJI,TVK,69747,90.46,Kongu,GEN,GOPINATH PALANIYAPPAN,INC,45781,23966
99,Erode (West),ANANTH MOGHAN K.K.,TVK,96836,88.48,Kongu,GEN,S. MUTHUSAMY,DMK,74586,22250
100,Modakkurichi,D.SHANMUGAN,TVK,60715,91.84,Kongu,GEN,S.KIRTHIKA,BJP,58285,2430
101,Dharapuram,SATHYABAMA.P,AIADMK,81100,89.89,Kongu,SC,INDIRANI.T,DMK,64373,16727
102,Kangayam,NSN NATARAJ,AIADMK,71122,92.69,Kongu,GEN,MANI GOUNDER,TVK,62989,8133
103,Perundurai,JAYAKUMAR. S,AIADMK,70302,93.58,Kongu,GEN,THOPPU VENKATACHALAM (ALIAS) N.D. VENKATACHALAM,DMK,60609,9693
104,Bhavani,KARUPPANAN. K.C,AIADMK,75577,93.33,Kongu,GEN,BALAKRISHNAN,TVK,68181,7396
105,Anthiyur,HARIBASKAR.P,AIADMK,60042,89.57,Kongu,GEN,SIVABALAN.M,DMK,58782,1260
106,Gobichettipalayam,SENGOTTAIYAN.K.A,TVK,82612,91.86,Kongu,GEN,NALLASIVAM.N,DMK,65992,16620
107,Bhavanisagar,V.P.TAMILSELVI,TVK,72391,90.31,Kongu,SC,A.BANNARI,AIADMK,67822,4569
108,Udhagamandalam,BHOJARAJAN.M,BJP,48488,78.69,Kongu,GEN,IBRAHIM.R,TVK,47512,976
109,Gudalur,DHRAVIDAMANI.M,DMK,65590,81.55,Kongu,SC,PON.JAYASEELAN,AIADMK,42757,22833
110,Coonoor,M. RAJU,DMK,50470,79.44,Kongu,GEN,A. RAMU,AIADMK,42371,8099
111,Mettuppalayam,SUNILANAND,TVK,75664,86.57,Kongu,GEN,SMT.KAVITHA KALYANASUNDARAM,DMK,67896,7768
112,Avanashi,KAMALI.S,TVK,84209,91.41,Kongu,SC,DR. L. MURUGAN,BJP,68836,15373
113,Tiruppur (North),V.SATHYABAMA,TVK,131401,83.41,Kongu,GEN,M.S.M.ANANDAN,AIADMK,61409,69992
114,Tiruppur (South),BALAMURUGAN. S,TVK,73793,91.23,Kongu,GEN,DINESHKUMAR. N,DMK,60892,12901
115,Palladam,K.RAMKUMAR,TVK,121297,91.25,Kongu,GEN,K.P.PARAMASIVAM,AIADMK,83400,37897
116,Sulur,NM.SUKUMAR,TVK,90531,88.9,Kongu,GEN,V.P.KANDASAMY,AIADMK,85741,4790
117,Kavundampalayam,KANIMOZHI SANTHOSH,TVK,146466,86.2,Kongu,GEN,ARUNKUMAR PRG,AIADMK,104326,42140
118,Coimbatore (North),V. SAMPATHKUMAR,TVK,92500,76.13,Kongu,GEN,DURAI. SENTHAMIL SELVAN B.E,DMK,70508,21992
119,Thondamuthur,S.P.VELUMANI,AIADMK,93316,88.13,Kongu,GEN,SATHISH RAJU (ALIAS) K.P.R. SATHISH,TVK,78591,14725
120,Coimbatore (South),V SENTHILBALAJI,DMK,59724,82.84,Kongu,GEN,V. SENTHILKUMAR,TVK,57453,2271
121,Singanallur,K.S.SRI GIRI PRASATH,TVK,84163,81.86,Kongu,GEN,V.SRINIDHI,INC,65024,19139
122,Kinathukadavu,VIGNESH K,TVK,99950,87.58,Kongu,GEN,SABARI KARTHIKEYAN K.V.K.S,DMK,88240,11710
123,Pollachi,K. NITHYANANDHAN,DMK,62013,88.82,Kongu,GEN,POLLACHI V. JAYARAMAN,AIADMK,57386,4627
124,Valparai,KUTTY (ALIAS) SUDHAKAR. A,DMK,54671,86.62,Kongu,SC,DR. SRIDHARAN. A,TVK,45300,9371
125,Udumalaipettai,JAYAKUMAR M.,DMK,68549,88.12,Kongu,GEN,RADHAKRISHNAN K.,AIADMK,65667,2882
126,Madathukulam,R JAYARAMAKRISHNAN,DMK,70458,87.62,Kongu,GEN,C SHANMUGAVELU,AMMK,54490,15968
127,Palani,RAVIMANOHARAN. K,AIADMK,66986,86.97,South,GEN,DR. PRAVEEN KUMAR. M,TVK,66293,693
128,Oddanchatram,SAKKARAPANI. R,DMK,93099,91.54,South,GEN,VIDIYAL S. SEKAR,BJP,49850,43249
129,Athoor,I. PERIASAMY,DMK,106240,90.41,South,GEN,N. KALAISELVI,TVK,83872,22368
130,Nilakkottai,AYYANAR.R,TVK,68580,89.18,South,SC,NAGAJOTHI.S,DMK,65655,2925
131,Natham,NATHAM VISWANATHAN R,AIADMK,85708,91.49,South,GEN,SELVAKUMAR K,DMK,73839,11869
132,Dindigul,SENTHILKUMAR. I.P,DMK,74489,87.57,South,GEN,NAZEER RAJA. G,TVK,73358,1131
133,Vedasandur,SAMINATHAN. T,DMK,84948,92.85,South,GEN,PARAMASIVAM. V.P.B.,AIADMK,74885,10063
134,Aravakurichi,ELANGO. R,DMK,70827,92.61,Kongu,GEN,KARTHIKEYAN. P,TVK,51445,19382
135,Karur,M.R. VIJAYABHASKAR,AIADMK,71542,94.25,Kongu,GEN,MATHIYALAGAN  V.P,TVK,69721,1821
136,Krishnarayapuram,SATHYA. M,TVK,62378,93.24,Kongu,SC,DR. DHIVYA. S,AIADMK,58875,3503
137,Kulithalai,SURIYANUR. A. CHANDRAN,DMK,68138,93.6,Kongu,GEN,G.BALASUBRAMANI,TVK,67559,579
138,Manapparai,R. KATHIRAVAN,TVK,83041,89.95,Delta,GEN,DR. PL. VIJAYAKUMAR,AIADMK,81615,1426
139,Srirangam,RAMESH,TVK,103235,88.78,Delta,GEN,S. DURAIRAJ,DMK,69645,33590
140,Tiruchirappalli (West),K.N.NEHRU,DMK,88235,82.16,Delta,GEN,G.RAMAMOORTHI,TVK,83449,4786
141,Tiruchirappalli (East),C. JOSEPH VIJAY,TVK,91381,82.86,Delta,GEN,S. INIGO IRUDAYARAJ,DMK,63965,27416
142,Thiruverumbur,VIJAYAKUMAR (A) NAVALPATTU S. VIJI,TVK,89837,82.24,Delta,GEN,ANBIL MAHESH POYYAMOZHI,DMK,81132,8705
143,Lalgudi,LEEMAROSE MARTIN,AIADMK,60795,87.2,Delta,GEN,KU PA KRISHNAN,TVK,58056,2739
144,Manachanallur,KATHIRAVAN. S,DMK,81447,88.65,Delta,GEN,V.SARAVANAN,TVK,69083,12364
145,Musiri,M.VIGNESH,TVK,71281,88.32,Delta,GEN,N.S.KARUNAIRAAJA,DMK,53839,17442
146,Thuraiyur,RAVISANKAR.M,TVK,66263,87.51,Delta,SC,E.SAROJA,AIADMK,56649,9614
147,Perambalur,SIVAKUMAR. K,TVK,90882,87.25,Central,SC,DR. JAYALAKSHMI. S.T,DMK,76489,14393
148,Kunnam,SIVASANKAR. S.S,DMK,87237,85.98,Central,GEN,SARANYA. A,AIADMK,71680,15557
149,Ariyalur,RAJENDRAN S,AIADMK,95219,89.63,Central,GEN,LATHA BALU,DMK,70721,24498
150,Jayankondam,VAITHILINGAM G.,PMK,88992,86.62,Central,GEN,KANNAN KA.SO.KA.,DMK,70502,18490
151,Tittakudi,GANESAN C.V,DMK,63106,84.09,Central,SC,RAJASEKAR A,TVK,60477,2629
152,Vriddhachalam,PREMALLATHA VIJAYAKANT,DMDK,69351,86.86,Central,GEN,VIJAY.S,TVK,66964,2387
153,Neyveli,RAJENDRAN.R,AIADMK,63731,88.21,Central,GEN,SABA.RAJENDRAN,DMK,52769,10962
154,Panruti,MOHAN. K,AIADMK,78398,87.15,Central,GEN,ABDUR RAHMAN. A.R,VCK,67735,10663
155,Cuddalore,B.RAJKUMAR,TVK,70856,85.28,Central,GEN,A.S.CHANDARASEKARAN,INC,55337,15519
156,Kurinjipadi,M.R.K.PANNEERSELVAM,DMK,76695,89.79,Central,GEN,A  BHUVANENTHIRAN,AIADMK,69106,7589
157,Bhuvanagiri,ARUNMOZHITHEVAN . A,AIADMK,75707,88.84,Central,GEN,SARAVANAN. DURAI . K,DMK,73220,2487
158,Chidambaram,THAMIMUN ANSARI. M,DMK,69739,84.98,Central,GEN,PANDIAN. K.A,AIADMK,63992,5747
159,Kattumannarkoil,L.E. JOTHIMANI,VCK,85179,82.96,Central,SC,A. SOZHAN,PMK,52116,33063
160,Sirkazhi,SENTHILSELVAN.R,DMK,71449,83.02,Delta,SC,SAKTHI.M,AIADMK,60032,11417
161,Mayiladuthurai,JAMAL MOHAMED YOUNOOS. Y.N,INC,68011,80.33,Delta,GEN,PALANISAMY. A   M.COM.,PMK,57166,10845
162,Poompuhar,NIVEDHA M MURUGAN,DMK,81096,84.57,Delta,GEN,PAVUNRAJ. S,AIADMK,72836,8260
163,Nagapattinam,M.H.JAWAHIRULLAH,DMK,56305,86.6,Delta,GEN,M.SUGUMAR,TVK,46524,9781
164,Kilvelur,LATHA. T,CPI(M),56108,88.87,Delta,SC,SENTHIL PANDIAN. P,TVK,53830,2278
165,Vedaranyam,MANIAN. O.S,AIADMK,59172,86.5,Delta,GEN,PUGAZHENDI. M,DMK,51841,7331
166,Thiruthuraipoondi,MARIMUTHU.K,CPI,74062,84.18,Delta,SC,PANDIYAN.S,TVK,61140,12922
167,Mannargudi,KAMARAJ. S,AMMK,68416,82.75,Delta,GEN,RAJAA.T.R.B,DMK,66850,1566
168,Thiruvarur,KALAIVANAN POONDI  K,DMK,93408,83.75,Delta,GEN,VEERAMANI V,TVK,75260,18148
169,Nannilam,KAMARAJ. R,AIADMK,103462,86.5,Delta,GEN,MOHAMED MUBARAK,DMK,61738,41724
170,Thiruvidaimarudur,GOVI.CHEZHIAAN,DMK,79951,81.3,Delta,SC,S.PRABAKARAN,TVK,65835,14116
171,Kumbakonam,VINOTH,TVK,78650,81.88,Delta,GEN,ANBALAGAN G,DMK,77971,679
172,Papanasam,A.M. SHAHJAHAN,IUML,69284,80.95,Delta,GEN,AZARUDEEN UDUMAN ALI,TVK,68219,1065
173,Thiruvaiyaru,DURAI. CHANDRASEKARAN,DMK,80425,85.89,Delta,GEN,MATHI. MANIKANDAN,TVK,71870,8555
174,Thanjavur,R. VIJAYSARAVANAN,TVK,87705,78.63,Delta,GEN,SHAN. RAMANATHAN,DMK,70750,16955
175,Orathanadu,R. VAITHILINGAM,DMK,86759,83.55,Delta,GEN,DR. K. ARVIND,TVK,51731,35028
176,Pattukkottai,ANNADURAI K,DMK,65963,75.79,Delta,GEN,MATHAN C,TVK,52209,13754
177,Peravurani,ASHOKKUMAR. N,DMK,60919,82.38,Delta,GEN,GOVI.ELANGO,AIADMK,57757,3162
178,Gandharvakottai,N. SUBRAMANIAN,TVK,58795,85.47,Delta,SC,C. UTHAYAKUMAR,BJP,47756,11039
179,Viralimalai,VIJAYABASKAR. C,AIADMK,105773,90.57,Delta,GEN,MURUGESAN. P,TVK,43700,62073
180,Pudukkottai,V. MUTHURAJA,DMK,66825,84.23,Delta,GEN,K.M. SHARIFF,TVK,64958,1867
181,Thirumayam,REGUPATHY.S,DMK,58201,82.77,Delta,GEN,CHINTHAMANI.C,TVK,56709,1492
182,Alangudi,SIVA.V.MEYYANATHAN,DMK,64929,85.08,Delta,GEN,KANDASAMY,TVK,51952,12977
183,Aranthangi,MOHAMED FARVAS. J,TVK,73244,79.51,Delta,GEN,RAMACHANDRAN . T,INC,63182,10062
184,Karaikudi,DR.PRABHU. TK,TVK,101358,74.89,South,GEN,MANGUDI. S,INC,55284,46074
185,Tiruppattur,SEENIVASA SETHUPATHY. R,TVK,83375,78.16,South,GEN,PERIAKARUPPAN. KR,DMK,83374,1
186,Sivaganga,KULANTHAI RANI A,TVK,73737,76.83,South,GEN,SENTHILNATHAN PR,AIADMK,58656,15081
187,Manamadurai,ELANGOVAN.D,TVK,69971,80.18,South,SC,TAMILARASI.A,DMK,68763,1208
188,Melur,P.VISWANATHAN,INC,60080,82.9,South,GEN,A.MADURAIVEERAN,TVK,57356,2724
189,Madurai East,KARTHIKEYAN S,TVK,118777,80.65,South,GEN,MOORTHY P,DMK,102230,16547
190,Sholavandan,KARUPPAIAH.M.V,TVK,63907,87.8,South,SC,VENKATESAN.A,DMK,61229,2678
191,Madurai North,A.KALLANAI,TVK,72853,73.11,South,GEN,G.THALAPATHI,DMK,54815,18038
192,Madurai South,M.M.GOPISON,TVK,62415,78.61,South,GEN,M.BOOMINATHAN,DMK,40886,21529
193,Madurai Central,MADHAR BADHURUDEEN,TVK,63414,74.4,South,GEN,PALANIVEL THIAGA RAJAN,DMK,44286,19128
194,Madurai West,THANGAPANDI SR,TVK,88250,78.5,South,GEN,BALAJI R,DMK,76319,11931
195,Thiruparankundram,NIRMALKUMAR. R.,TVK,114316,81.96,South,GEN,KIRUTHIGA THANGAPANDI,DMK,72763,41553
196,Thirumangalam,MANIMARAN.M,DMK,88291,87.84,South,GEN,UDHAYAKUMAR.R.B,AIADMK,64484,23807
197,Usilampatti,VIJAY. M,TVK,65743,83.61,South,GEN,MAHENDRAN. I,AIADMK,63938,1805
198,Andipatti,MAHARAJAN.A,DMK,74324,84.24,South,GEN,PANDI.V,TVK,64770,9554
199,Periyakulam,SABARI IYNGARAN G.,TVK,85656,79.23,South,SC,SAKTHIVEL P.,VCK,66335,19321
200,Bodinayakanur,PANNEERSELVAM.O,DMK,85206,83.45,South,GEN,PRAKASH.S,TVK,78401,6805
201,Cumbum,JEGANATHMISHRA PLA,TVK,85394,81.83,South,GEN,ERAMAKRISHNAN N,DMK,84643,751
202,Rajapalayam,JEGADESHWARI. K,TVK,65548,85.27,South,GEN,THANGAPANDIAN. S,DMK,54943,10605
203,Srivilliputhur,KARTHIK.A,TVK,65653,86.02,South,SC,MAHALINGAM.P,CPI,57072,8581
204,Sattur,KADARKARAIRAJ. A,DMK,62060,86.35,South,GEN,NAINAR NAGENTHRAN,BJP,56071,5989
205,Sivakasi,KEERTHANA S,TVK,68709,84.7,South,GEN,ASHOKAN G,INC,57039,11670
206,Virudhunagar,SELVAM P,TVK,63653,83.52,South,GEN,VIJAYAPRABHAKAR,DMDK,54262,9391
207,Aruppukkottai,RAMACHANDRAN. K.K.S.S.R,DMK,65104,85.71,South,GEN,KARTHIK KUMAR. K,TVK,60161,4943
208,Tiruchuli,THANGAM THENARASU,DMK,75085,88.12,South,GEN,SAMAYAN.S,TVK,61600,13485
209,Paramakudi,ADVOCATE. KATHIRAVAN. K.K,DMK,59161,80.71,South,SC,GOPIRAJAN. G,TVK,55613,3548
210,Tiruvadanai,RAJEEV,TVK,69551,77.53,South,GEN,RM. KARUMANICKAM,INC,67038,2513
211,Ramanathapuram,KATHARBATCHA MUTHURAMALINGAM,DMK,89137,76.03,South,GEN,SHAHUL HAMEED,TVK,76678,12459
212,Mudhukulathur,R.S.RAJAKANNAPPAN,DMK,68003,77.2,South,GEN,MALARVIZHI. B,TVK,51405,16598
213,Vilathikulam,MARKANDAYAN G V,DMK,58395,85.08,South,GEN,P. KASIRAM,TVK,50167,8228
214,Thoothukkudi,SRINATH,TVK,100536,81.62,South,GEN,P. GEETHA JEEVAN,DMK,62805,37731
215,Tiruchendur,ANITHA R. RADHAKRISHNAN,DMK,72723,79.83,South,GEN,J. MURUGAN,TVK,66851,5872
216,Srivaikuntam,SARAVANAN. G,TVK,58814,82.2,South,GEN,SHANMUGANATHAN. S. P,AIADMK,57628,1186
217,Ottapidaram,P .MATHANRAJA,TVK,81625,80.15,South,SC,P.M.RAMAJEYAM,DMK,52542,29083
