ac_number,constituency,winner_candidate,winner_party,winner_votes,turnout,region,reserved,runner_candidate,runner_party,runner_votes,margin
173,Thiruvaiyaru,DURAI.CHANDRASEKARAN,DMK,103210,78.11,Delta,GEN,"VENKATESAN, S.",BJP,49560,53650
174,Thanjavur,"NEELAMEGAM, T.K.G.",DMK,103772,65.72,Delta,GEN,"ARIVUDAINAMBI, V.",AIADMK,56623,47149
175,Orathanad,"VAITHILINGAM, R.",AIADMK,90063,78.29,Delta,GEN,"RAMCHANDRAN, M.",DMK,61228,28835
176,Pattukkottai,"ANNADURAI, K.",DMK,79065,71.66,Delta,GEN,"RENGARAJAN, N.R.",AIADMK,53796,25269
177,Peravurani,"ASHOKKUMAR, N.",DMK,89130,77.02,Delta,GEN,"THIRUGNANASAMBANDAM, S.V.",AIADMK,65627,23503
178,Gandharvakottai,M.Chinnadurai,CPI(M),69710,74.45,Delta,SC,S.Jayabharathi,AIADMK,56989,12721
179,Viralimalai,VIJAYA BASKER C,AIADMK,102179,85.43,Delta,GEN,PALANIAPPAN,DMK,78581,23598
180,Pudukkottai,V . MUTHURAJA,DMK,85802,72.94,Delta,GEN,KARTHIK THONDAIMAN,AIADMK,72801,13001
181,Thirumayam,S.REGUPATHY,DMK,71349,75.85,Delta,GEN,P.K.VAIRAMUTHU,AIADMK,69967,1382
182,Alangudi,SIVA.V.MEYYANATHAN,DMK,87935,78.47,Delta,GEN,DHARMA THANGAVEL,AIADMK,62088,25847
183,Arantangi,RAMACHANDRAN T,INC,81835,70.21,Delta,GEN,RAJANAYAGAM M,AIADMK,50942,30893
184,Karaikudi,S.Mangudi,INC,75954,66.23,South,GEN,H.Raja,BJP,54365,21589
185,Tiruppattur,KR.PERIYAKARUPPAN,DMK,103682,71.98,South,GEN,MARUDHU ALAGURAJ,AIADMK,66308,37374
186,Sivaganga,PR. Senthilnathan,AIADMK,82153,66.29,South,GEN,S. Gunasekaran,CPI,70900,11253
187,Manamadurai,Tamilarasi A.,DMK,89364,72.05,South,SC,Nagarajan S.,AIADMK,75273,14091
188,Melur,PERIYAPULLAN @ SELVAM  P.,AIADMK,83344,74.23,South,GEN,RAVICHANDRAN  T.,INC,48182,35162
189,Madurai East,MOORTHY P,DMK,122729,71.34,South,GEN,GOPALAKRISHNAN R,AIADMK,73125,49604
190,Sholavandan,VENKATESAN A,DMK,84240,79.49,South,SC,MANICKAM K,AIADMK,67195,17045
191,Madurai North,THALAPATHI G,DMK,73010,63.6,South,GEN,SARAVANAN P,BJP,50094,22916
192,Madurai South,BOOMINATHAN.M,DMK,62812,63.8,South,GEN,SARAVANAN. S.S,AIADMK,56297,6515
193,Madurai Central,PALANIVEL THIAGA RAJAN,DMK,73205,61.03,South,GEN,JOTHI MUTHURAMALINGAM N,AIADMK,39029,34176
194,Madurai West,RAJU. K,AIADMK,83883,65.12,South,GEN,CHINNAMMAL. C,DMK,74762,9121
195,Thiruparankundram,"RAJANCHELLAPPA, V.V.",AIADMK,103683,72.73,South,GEN,PONNUTHAI,CPI(M),74194,29489
196,Thirumangalam,UDHAYAKUMAR R B,AIADMK,100338,78.13,South,GEN,MANIMARAN M,DMK,86251,14087
197,Usilampatti,AYYAPPAN P,AIADMK,71255,73.82,South,GEN,KATHIRAVAN P V,DMK,63778,7477
198,Andipatti,A.MAHARAJAN,DMK,93541,74.85,South,GEN,A.LOGIRAJAN,AIADMK,85003,8538
199,Periyakulam,K.S.SARAVANAKUMAAR,DMK,92251,69.94,South,SC,M Murugan,AIADMK,70930,21321
200,Bodinayakanur,O.PANNEERSELVAM,AIADMK,100050,76.3,South,GEN,THANGATAMILSELVAN,DMK,89029,11021
201,Cumbum,N.Ramakrishnan,DMK,104800,69.51,South,GEN,Syedukhan.S.P.M,AIADMK,62387,42413
202,Rajapalayam,THANGAPANDIAN S.,DMK,74158,73.89,South,GEN,RAJENTHRABHALAJI K.T,AIADMK,70260,3898
203,Srivilliputhur,"MANRAJ, E.M.",AIADMK,70475,73.14,South,SC,"MADHAVARAO, P.S.W.",INC,57737,12738
204,Sattur,"RAGHURAMAN,  A.R.R.",DMK,74174,75.17,South,GEN,"RAVICHANDHRAN, R.K.",AIADMK,62995,11179
205,Sivakasi,Ashokan.G,INC,78947,70.16,South,GEN,Lakshmi Ganesan,AIADMK,61628,17319
206,Virudhunagar,SEENIVASAN A.R.R,DMK,73297,71.27,South,GEN,PANDURANGAN G,BJP,51958,21339
207,Aruppukottai,K.K.S.S.R.RAMACHANDRAN,DMK,91040,75.6,South,GEN,VAIGAICHELVAN,AIADMK,52006,39034
208,Tiruchuli,THANGAM THENARASU,DMK,102225,77.46,South,GEN,RAJASEKAR S,AIADMK,41233,60992
209,Paramakudi,MURUGESAN S,DMK,84864,70.59,South,SC,SADHAN PRABHAKAR N,AIADMK,71579,13285
210,Tiruvadanai,KARUMANICKAM,INC,79364,68.72,South,GEN,K C ANIMUTHU,AIADMK,65512,13852
211,Ramanathapuram,KATHARBATCHA MUTHURAMALINGAM,DMK,111082,68.81,South,GEN,D.KUPPURAMU,BJP,60603,50479
212,Mudukulathur,R.S.RAJAKANNAPPAN,DMK,101901,70.29,South,GEN,KEERTHIKA,AIADMK,81180,20721
213,Vilathikulam,MARKANDAYAN V,DMK,90348,76.52,South,GEN,CHINNAPPAN P,AIADMK,51799,38549
214,Thoothukkudi,P.Geetha Jeevan,DMK,92314,65.07,South,GEN,SDR Vijayaseelan,AIADMK,42004,50310
215,Tiruchendur,Anitha R. Radhakrishnan,DMK,88274,70.04,South,GEN,Radhakrishnan M,AIADMK,63011,25263
