ac_number,constituency,winner_candidate,winner_party,winner_votes,turnout,region,reserved,runner_candidate,runner_party,runner_votes,margin
100,Modakurichi,SARASWATHI.C,BJP,78125,75.26,Kongu,GEN,SUBBULAKSHMI JEGADEESAN,DMK,77844,281
101,Dharapuram,KAYALVIZHI N,DMK,89986,74.15,Kongu,SC,MURUGAN L,BJP,88593,1393
102,Kangayam,SAMINATHAN.M.P,DMK,94197,77.19,Kongu,GEN,RAMALINGAM.A.S,AIADMK,86866,7331
103,Perundurai,"JAYAKUMAR, S.",AIADMK,85125,82.6,Kongu,GEN,KKC BALU,DMK,70618,14507
104,Bhavani,KARUPPANAN.K.C,AIADMK,100915,83.5,Kongu,GEN,DURAIRAJ.K.P,DMK,78392,22523
105,Anthiyur,VENKATACHALAM.A.G,DMK,79096,79.69,Kongu,GEN,SHANMUGAVEL.K.S,AIADMK,77821,1275
106,Gobichettipalayam,SENGOTTAIYAN K.A,AIADMK,108608,82.52,Kongu,GEN,MANIMARAN G.V,DMK,80045,28563
107,Bhavanisagar,A.Bannari,AIADMK,99181,77.37,Kongu,SC,P.L SUNDARAM,CPI,83173,16008
108,Udhagamandalam,"GANESH, R.",INC,65530,67.82,Kongu,GEN,"BHOJARAJAN, M.",BJP,60182,5348
109,Gudalur,PON.JAYASEELAN,AIADMK,64496,72.15,Kongu,SC,"KASILINGAM, S.",DMK,62551,1945
110,Coonoor,"Ramachandran, K.",DMK,61820,69.79,Kongu,GEN,"Vinoth, D.",AIADMK,57715,4105
111,Mettupalayam,SELVARAJ A K,AIADMK,105231,75.14,Kongu,GEN,SHANMUGASUNDARAM T R,DMK,102775,2456
112,Avanashi,"DHANAPAL, P",AIADMK,117284,75.18,Kongu,SC,ATHIYAMAAN RAJU,DMK,66382,50902
113,Tiruppur (North),VIJEYAKUMAR.K.N,AIADMK,113384,62.44,Kongu,GEN,RAVI (Alias) SUBRAMANIAN . M,CPI,73282,40102
114,Tiruppur (South),SELVARAJ. K.,DMK,75535,62.74,Kongu,GEN,GUNASEKARAN. S.,AIADMK,70826,4709
115,Palladam,ANANDAN M S M,AIADMK,126903,66.7,Kongu,GEN,MUTHURATHINAM K,DMK,94212,32691
116,Sulur,KANDASAMY V.P.,AIADMK,118968,75.57,Kongu,GEN,PREMIER SELVAM (a)KALICHAMY M,DMK,87036,31932
117,Kavundampalayam,G.Arunkumar,AIADMK,135669,66.13,Kongu,GEN,R.Krishnan,DMK,125893,9776
118,Coimbatore North,AMMAN K.ARJUNAN,AIADMK,81454,59.21,Kongu,GEN,SHANMUGASUNDARAM V.M,DMK,77453,4001
119,Thondamuthur,S.P. VELUMANI,AIADMK,124225,70.22,Kongu,GEN,KARTHIKEYA,DMK,82595,41630
120,Coimbatore South,VANATHI SRINIVASAN,BJP,53209,60.69,Kongu,GEN,KAMALHAASAN,MNM,51481,1728
121,Singanallur,"Jayaram, K.R",AIADMK,81244,61.73,Kongu,GEN,"Karthik, N",DMK,70390,10854
122,Kinathukadavu,Damodaran.S,AIADMK,101537,70.64,Kongu,GEN,Kuruchi Prabhakaran,DMK,100442,1095
123,Pollachi,Pollachi V. Jayaraman,AIADMK,80567,77.34,Kongu,GEN,"Dr. Varadharajan, K.",DMK,78842,1725
124,Valparai,AMULKANDASAMI T K,AIADMK,71672,70.04,Kongu,SC,ARUMUGAM M,CPI,59449,12223
